abrupt,-,abrupt,-,-,-,abruptement,abruptly,
absolu,-,absolute,-,-,-,absolument ,absolutely,
accidentel,-,accidental,accidentelle,-,-,accidentellement,accidentally,
affligeant,-,"distressing,saddening",-,-,-,-,-,
aisé,-,"at-ease,wealthy",-,-,-,aisément,effortlessly,
ancien,former,ancient,ancienne,-,-,anciennement,formerly,
approximatif,-,approximate,approximative,-,-,approximativement,approximately,
assuré ,-,"insured,assured",-,-,-,assurément,assuredly,
attentif,-,"attentive,cautious",attentive,-,-,attentivement,attentively,
autre,other,-,autre,autres,autres,autrement,otherwise,
avid,,eager,avid,-,-,avidement,eagerly,
bas,-,"base,low",basse,bas,-,bassement,basely,
basique,,basic,basique,-,-,basiquement,basically,
blafard,-,"pale,wan,pallid",-,-,-,-,-,
blanc,-,white,blanche,-,-,-,-,
bref,brief,-,brève,-,-,brièvement,brièvement,
brumeux,-,"misty,hazy,foggy",brumeuse,brumeux,-,-,-,
carré,-,square,-,-,-,carrément,squarely,
censé,-,supposed-to,-,-,-,censément,supposedly,
cher,dear(beloved),"dear,expensive",chère,-,-,chèrement,dearly,
chiant,-,annoying(slang),-,-,-,-,-,
clair,-,"clear,plain,obvious",-,-,-,clairement,"clearly,plainly,obviously",*
complet,-,complete,complète,-,-,complètement,completely,
correct,-,correct,-,-,-,correctement,correctly,
court,-,short,-,-,-,courtement ,shortly,
curieux,-,curious,curieuse,-,-,curieusement,curiously,
déchirant,-,heartbreaking,-,-,-,-,-,
délabré ,-,dilapidated,-,-,-,-,-,
délicieux,-,delicious,délicieuse,-,-,délicieusement,deliciously,
dernier,last,previous,dernière,-,-,dernièrement,"recently,lastly",
différent,-,"various,different",-,-,-,différemment,differently,
direct,-,direct,-,-,-,directement,directly,
doué,-,talented,-,-,-,-,-,
doux,-,"soft,mild,gentle",douce,doux,-,doucement,"gently,softly,quietly",
drôle,-,funny,drôle,-,-,drôlement,funnily,
écarté ,-,spread-apart,-,-,-,-,-,
effrayant,-,scary,-,-,-,-,-,
électrique,-,electrical,électrique,-,-,-,-,
entier,-,whole,entière,-,-,entièrement,entirely,
escarpé,-,steep,-,-,-,-,-,
étanche,-,waterproof,étanches,étanche,-,-,-,
étroit,-,narrow,-,-,-,étroitement,narrowly,
