-,-,coordonnées,contact-details,f,-,
-,-,données,data,f,,
-,-,légumes,vegetables,m,p*,
-,-,parages,neighbourhood,m,,
-,-,vacances,holidays,f,-,
abbaye,abbey,-,-,f,,
abeille,bee,-,-,f,,
accent,accent,-,-,m,,
accident,accident,-,-,m,,
accroc,snag,-,-,m,,
accueil,home-page,-,-,m,,
acheminement ,act-of-transporting,-,-,m,,
acier,steel,-,-,f,p,
adresse,address,-,-,f,*,
agneau,lamb,agneaux,lambs,m,,
aide,help,-,-,f,,
aiguille,needle,-,-,f,,
aile,wing,-,-,f,,
ami,friend,-,-,m,,
âne,donkey,-,-,m,,
animal,animal,animaux,animals,m,,
animateur ,presenter(m),animateurs,presenters(m),m,,
animatrice,presenter(f),-,-,f,,
appartement,apartment,-,-,m,,
arbre,tree,-,-,m,,
argent,money,-,-,m,p*,
armoire,"wardrobe,cabinet",-,-,f,,
arrière,rear,-,-,m,,
arrivée,arrival,-,-,f,,
assiette,plate,-,-,f,*,
atelier,workshop,-,-,m,,
atrocité,atrocity,-,-,f,,
attente,expectation,-,-,f,,
attitude,attitude,-,-,f,,
avion,aeroplane,-,-,m,*,
bail,lease,baux,leases,m,,
balai,broom,-,-,m,,
balcon,balcony,-,-,m,,
balise,"beacon,tag",-,-,f,,
balle,"(small)ball,bullet",-,-,f,*,
ballon,(large)ball,-,-,m,,
banane,banana,-,-,f,*,
banque,bank,-,-,f,,
barbe,beard,-,-,f,,
baroufle ,turmoil,-,-,m,,
bassin,pelvis,-,-,m,,
bateau,boat,-,-,m,,
bâtiment,building,-,-,m,,
bénéfice,profit,-,-,m,,
beurre,butter,-,-,m,p*,
bibliothèque,library,-,-,f,,
bière,beer,-,-,f,,
bijou,jewel,bijoux,jewels,m,,
bilan,summary,-,-,m,,
billet,ticket,-,-,m,,
bio,organic,-,-,m,p,
blé,wheat,-,-,m,p,
bleu,bruise,-,-,m,,
blouse,gown,-,-,f,,
boisson,drink,-,-,f,,
boite,box,-,-,f,,
bonbon,sweetie,-,-,m,,
bord,"edge,shore",-,-,m,,
botte,boot,-,-,f,,
bouche,mouth,-,-,f,,
boucle,"loop,buckle",-,-,f,,
bout,end/tip,-,-,m,,
bouteille,bottle,-,-,f,*,
bouton,"button,pimple",-,-,m,,
bras,arm,bras,arms,m,,
brosse,brush,-,-,f,,
brosse à dents,toothbrush,brosses à dents,toothbrushes,f,,
bruit,noise,-,-,m,p,
bulle,bubble,-,-,f,,
bureau,desk,bureaux,desks,m,,
cadre,"frame,framing",-,-,m,,
café,coffee,-,-,m,p,
caillou,pebble,cailloux,pebbles,m,,
canal,"canal,radio frequency",canaux,"canals,radio frequencies",m,,
canapé,sofa,-,-,m,,
cannelle,cinnamon,-,-,f,p,
capitale,capital,-,-,f,,
capteur,sensor,-,-,m,,
carnet,notebook,-,-,m,,
carrefour,crossroads,-,-,m,,
carte,"card,chart,map,menu",-,-,f,,
cas,case(situation),cas,cases(situations),m,,
catastrophe,catastrophe,-,-,f,,
cauchemar,nightmare,-,-,m,,
cerise,cherry,-,-,f,p,
chaine,"chain,TV station",-,-,f,,
chaise,chair,-,-,f,,
chambre,bedroom,-,-,f,,
chameau,camel,chameaux,camels,m,,
chance,luck,-,-,f,p,
changement,change,-,-,m,,
chanson,song,-,-,f,,
chapeau,hat,chapeaux,hats,m,,
charbon,coal,-,-,m,p,
château,castle,châteaux,castles,m,*,
chaussette,sock,-,-,f,,
chaussure,shoe,-,-,f,,
cheminée,chimney,-,-,f,*,
chemise,shirt,-,-,f,*,
chèque,cheque,-,-,m,,
cheval,horse,chevaux,horses,m,,
