conditional#1\;essence,1384620548,0,1,0,
conditional#3f\;argent,1381003399,0,1,0,
conditional#3f\;épinard,1384617939,0,1,0,
conditional#5\;charbon,1384620548,1384620548,1,1,
conditionalPast#3f\;fromage,1384620548,1384620548,1,1,
conditionalPast#3f\;électricité,1384617939,1384617939,1,1,
conditionalPast#5\;chou,1384620548,1384620548,1,1,
conditionalPast#5\;épinard,1381003399,0,1,0,
conditionalPast#6m\;viande,1384620548,1384620548,1,1,
future#1\;soupe,1384620548,1384620548,1,1,
future#3f\;café,1384620548,1384620548,1,1,
future#3f\;électricité,1381003399,1381003399,1,1,
future#4\;papier,1384620548,1384620548,1,1,
future#6m\;argent,1384617939,0,1,0,
futurePast#2\;feu,1384620548,1384620548,1,1,
futurePast#2\;herbe,1384617939,1384617939,1,1,
futurePast#3f\;eau,1381003399,1381003399,1,1,
futurePast#4\;force,1384620548,0,1,0,
futurePast#5\;feu,1384620548,1384620548,1,1,
imperfect#1\;huile,1381003399,1381003399,1,1,
imperfect#1\;musique,1384620548,1384620548,1,1,
imperfect#2\;eau,1384617939,1384617939,1,1,
imperfect#5\;vase,1384620548,0,1,0,
imperfect#6m\;chance,1384620548,1384620548,1,1,
subjunctive#1\;courrier,1384620548,1384620548,1,1,
subjunctive#2\;gaz,1384620548,1384620548,1,1,
subjunctive#3f\;huile,1384617939,1384617939,1,1,
subjunctive#3m\;confiture,1384620548,0,1,0,
subjunctive#4\;essence,1381003399,0,1,0,
subjunctive#4\;farine,1384620548,1384620548,1,1,
subjunctive#5\;vin,1384620548,1384620548,1,1,
subjunctive#6m\;cannelle,1384620548,0,1,0,
subjunctive#6m\;essence,1384617939,1384617939,1,1,
subjunctive#6m\;herbe,1381003399,0,1,0,
